Headline,Source,Posted,Description,Link
India Asian Hockey,Anacortes American,24 hours ago,"India's Harmanpreet Singh, center, reacts after scoring his side's second goal during the men's Asian Champions Trophy hockey match between India and Pakistan ...",https://www.goskagit.com/sports/ap/india-asian-hockey/image_4dac2893-8043-5441-91f1-72c749324443.html
India Asian Hockey,Anacortes American,24 hours ago,"Pakistan players react during the men's Asian Champions Trophy hockey match between India and Pakistan in Chennai, India, Wednesday, Aug. 9, 2023. (AP Photo/R. Parthibhan)",https://www.goskagit.com/sports/ap/india-asian-hockey/image_6f8c4697-ffb5-5235-9f14-5452a6757ef3.html
India’s opposition targets Modi in no-confidence motion over ethnic violence in Manipur state,The Washington Times,2 days ago,India’s opposition accused Prime Minister Narendra Modi of choosing silence while a northeastern state governed by his party convulsed in ethnic violence as Parliament began ...,https://www.washingtontimes.com/news/2023/aug/8/indias-opposition-targets-modi-in-their-no-confide/
India Asian Hockey,The Herald Journal,23 hours ago,"Pakistan's Abdul Shahid, left, greets India's Sumit after India won the men's Asian Champions Trophy hockey match against Pakistan in Chennai,  ...",https://www.hjnews.com/sports/nation/india-asian-hockey/image_cd336688-d507-535a-ba8c-b3dd9c36daa2.html
India Bars Use of Chinese Components In Military Drones In Self-Reliance Push: Report,Benzinga,2 days ago,India has reportedly taken a decisive step to enhance its security infrastructure by restricting the use of Chinese components in the manufacturing of military drones. This ...,https://in.benzinga.com/content/33613918/india-bars-use-of-chinese-components-in-military-drones-in-self-reliance-push-report
India's opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,ABC News,2 days ago,India’s opposition accused Prime Minister Narendra Modi of choosing silence while a northeastern state governed by his party convulsed in ethnic violence as Parliament began ...,https://abcnews.go.com/International/wireStory/indias-opposition-targets-modi-confidence-motion-ethnic-violence-102092896
India's July fuel demand up 1.9% year on year,Reuters,2 days ago,"India's fuel consumption, a proxy for oil demand, rose by 1.9% year-on-year in July to about 18.09 million tonnes, data from the Petroleum Planning and...",https://www.reuters.com/world/india/indias-july-fuel-demand-up-19-year-year-2023-08-08/
India succeeds in reducing emissions rate by 33% over 14 years – sources,WHTC 1450 Holland,1 day ago,By Sarita Chaganti Singh NEW DELHI (Reuters) - India's greenhouse emissions rate dropped by a...,https://whtc.com/2023/08/09/india-succeeds-in-reducing-emissions-rate-by-33-over-14-years-sources/
India succeeds in reducing emissions rate by 33% over 14 years – sources,WSAU Wausau,1 day ago,By Sarita Chaganti Singh NEW DELHI (Reuters) - India's greenhouse emissions rate dropped by a...,https://wsau.com/2023/08/09/india-succeeds-in-reducing-emissions-rate-by-33-over-14-years-sources/
India's opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state...,KEYT 3 Santa Barbara,2 days ago,India’s opposition accused Prime Minister Narendra Modi of choosing silence while a northeastern...,https://keyt.com/news/2023/08/08/indias-opposition-targets-modi-in-their-no-confidence-motion-over-ethnic-violence-in-manipur-state/
India Rate Panel to Dial up Hawkishness Even as It Holds Policy Steady,US News & World Report,3 days ago,"India's monetary policy committee (MPC) is expected to maintain key rates when it meets on Thursday, but will adopt a far more hawkish tone as the recent rise in food prices ...",https://money.usnews.com/investing/news/articles/2023-08-07/india-rate-panel-to-dial-up-hawkishness-even-as-it-holds-policy-steady
India emerges as prime target of hacktivism due to religious motivations: Report,Investing.com,3 days ago,India emerges as prime target of hacktivism due to religious motivations: Report,https://in.investing.com/news/india-emerges-as-prime-target-of-hacktivism-due-to-religious-motivations-report-3759643
India succeeds in reducing emissions rate by 33% over 14 years – sources,WSAU Wausau,1 day ago,By Sarita Chaganti Singh NEW DELHI (Reuters) - India's greenhouse emissions rate dropped by a...,http://wsau.com/2023/08/09/india-succeeds-in-reducing-emissions-rate-by-33-over-14-years-sources/
India's opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,AOL,2 days ago,India’s opposition accused Prime Minister Narendra Modi of choosing silence while a northeastern state governed by his party convulsed in ethnic violence as Parliament began ...,https://www.aol.com/news/indias-opposition-targets-modi-no-075724492.html
Jockey India licensee posts 24% fall in Q1 profit on sluggish demand,Reuters,7 hours ago,"Page Industries (PAGE.NS), which licenses innerwear and loungewear brand Jockey International's...",https://www.reuters.com/business/retail-consumer/jockey-india-licensee-posts-24-fall-q1-profit-sluggish-demand-2023-08-10/
'Vivacious' actress Tamannaah Bhatia to lead NJ India Day Parade,MyCentralJersey.com,7 hours ago,"One of India's biggest movie stars is coming to Edison. Actress Tamannaah Bhatia, who has 28 million...",https://www.mycentraljersey.com/story/news/local/middlesex-county/2023/08/10/india-day-tamannaah-bhatia-nj-parade/70554205007/
Russia is to launch its first mission to the moon in almost 50 years,CBS 47 Fresno,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.yourcentralvalley.com/news/nasa-space-and-science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,KAMR Amarillo,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.myhighplains.com/news/science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,WRBL Columbus,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.wrbl.com/news/science/ap-science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,WLNS Lansing,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.wlns.com/news/science/ap-science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,FOX 23 News Albany,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.news10.com/news/science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
India delays laptop import restrictions order by three months after uproar,TechCrunch,6 days ago,"India is delaying the implementation of its import limitations on laptops, tablets and servers by...",https://techcrunch.com/2023/08/04/india-delays-laptop-import-restrictions-order/
"Disney's India Streaming Arm Is Bleeding Subscribers By Millions, The Culprit: Billionaire Mukesh...",Benzinga via Yahoo Finance,9 hours ago,This story was first published on the Benzinga India portal. The Walt Disney Company (NYSE: DIS)...,https://finance.yahoo.com/news/disneys-india-streaming-arm-bleeding-073552469.html?fr=sycsrp_catchall
"India restricts laptop, PC imports to boost local manufacturing",CNN Business via Yahoo Finance,7 days ago,India has placed restrictions on the import of computers and laptops in a surprise move from the government of Prime Minister Narendra Modi which has been trying to encourage domestic manufacturing in the tech sector.,https://finance.yahoo.com/news/india-restricts-laptop-pc-imports-035813727.html?fr=sycsrp_catchall
Russia is to launch its first mission to the moon in almost 50 years,WHIO-TV 7 Dayton,33 minutes ago,LONDON — (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.whio.com/news/world/russia-is-launch-its/BBU7AGBLXTPWRM77MEMKMT37TA/
Russia is to launch its first mission to the moon in almost 50 years,WSOC-TV Charlotte,33 minutes ago,LONDON — (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.wsoctv.com/news/world/russia-is-launch-its/BBU7AGBLXTPWRM77MEMKMT37TA/
Russia is to launch its first mission to the moon in almost 50 years,WSB-TV 2 Atlanta,33 minutes ago,"LONDON — (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it in a space race with India which is also aiming to land ...",https://www.wsbtv.com/news/world/russia-is-launch-its/BBU7AGBLXTPWRM77MEMKMT37TA/
Russia is to launch its first mission to the moon in almost 50 years,KIRO 7 Seattle-Tacoma,33 minutes ago,LONDON — (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.kiro7.com/news/world/russia-is-launch-its/BBU7AGBLXTPWRM77MEMKMT37TA/
Russia is to launch its first mission to the moon in almost 50 years,WFTV 9 Orlando,33 minutes ago,LONDON — (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.wftv.com/news/world/russia-is-launch-its/BBU7AGBLXTPWRM77MEMKMT37TA/
India job seekers aren't ready to return to the office — 2 in 3 say they value flexibility over pay,CNBC,3 days ago,"Workers in India are far from ready to return to the pre-pandemic days of working in an office, five...",https://www.cnbc.com/2023/08/08/india-job-seekers-value-flexibility-over-pay-indeed-survey-shows.html
'Post-it' maker 3M India's Q1 profit rises on robust demand,Reuters via Yahoo Finance,8 hours ago,"BENGALURU, Aug 10 (Reuters) - 3M India reported an over 53% rise in first-quarter profit, aided by strong demand in its transportation and electronics and safety and industrial ...",https://finance.yahoo.com/news/post-maker-3m-indias-q1-083219294.html?fr=sycsrp_catchall
India’s historic Chandrayaan-3 mission sends back first images of Moon ahead of landing,The Independent UK via AOL,3 days ago,India’s historic Chandrayaan-3 mission to the lunar South pole has sent back first images of the...,https://www.aol.com/india-historic-chandrayaan-3-mission-083500472.html
India's opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,KIRO 7 Seattle-Tacoma,1 day ago,NEW DELHI — (AP) — India's top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://www.kiro7.com/news/world/indias-opposition/AHTAPWUF3YPQ5A2YCQ3E5LLOQA/
India's opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,WFTV 9 Orlando,1 day ago,NEW DELHI — (AP) — India's top opposition leader unleashed a strong condemnation Wednesday of Prime Minister Narendra Modi's government for its failure to control bloodshed ...,https://www.wftv.com/news/world/indias-opposition/AHTAPWUF3YPQ5A2YCQ3E5LLOQA/
India's opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,WSOC-TV Charlotte,1 day ago,NEW DELHI — (AP) — India's top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://www.wsoctv.com/news/world/indias-opposition/AHTAPWUF3YPQ5A2YCQ3E5LLOQA/
India's opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,WHIO-TV 7 Dayton,1 day ago,NEW DELHI — (AP) — India's top opposition leader unleashed a strong condemnation Wednesday of Prime...,https://www.whio.com/news/world/indias-opposition/AHTAPWUF3YPQ5A2YCQ3E5LLOQA/
India's Waaree Energies raises about $121 mln funding,Reuters,3 days ago,"India's Waaree Energies on Monday said it has raised about 10 billion rupees ($120.88 million) in a second round of funding led by Mumbai-based investment firm ValueQuest, ...",https://www.reuters.com/world/india/indias-waaree-energies-raises-about-121-mln-funding-2023-08-07/
"India's rice export ban could hit planting, farm income -farmers' body",Reuters via Yahoo Finance,2 days ago,Rice planting in India could fall by 5% as New Delhi's decision to ban non-basmati white rice...,https://finance.yahoo.com/news/indias-rice-export-ban-could-105507515.html?fr=sycsrp_catchall
"India's Tata Chemicals posts drop in Q1 profit on lower prices, volumes",Reuters,3 days ago,"India's Tata Chemicals Ltd posted a 9.7% fall in first-quarter profit on Monday, hurt by a fall in soda ash prices and lower volumes.",https://www.reuters.com/article/tatachemicals-results-idUSKBN2ZI0TP
India Delays Laptop Import Restrictions Order - Slashdot,Slashdot,6 days ago,"India is delaying the implementation of its import limitations on laptops, tablets, and servers, a day after the unexpected regulation left electronic industry giants in a ...",https://slashdot.org/story/23/08/04/167213/india-delays-laptop-import-restrictions-order
India Supreme Court to monitor investigations into Manipur sexual violence,Al Jazeera,3 days ago,India’s Supreme Court said it will monitor all cases of violence against women committed during...,https://www.aljazeera.com/news/2023/8/7/india-supreme-court-to-monitor-investigations-into-manipur-sexual-violence
Russia is to launch its first mission to the moon in almost 50 years,WDTN-TV 2 Dayton,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.wdtn.com/news/science/ap-science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,PAHomePage.com,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.pahomepage.com/news/science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,NBC 10 - FOX 14 Monroe,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.myarklamiss.com/news/science/ap-science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,WWTI Watertown,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.informnny.com/news/science-technology-news/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,FOX40 Sacramento,38 minutes ago,LONDON (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://fox40.com/morning/science/ap-science/ap-russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
"Duck Creek Technologies Expands to the Indian Market, Offering Its Global Core Technology Platform...",Morningstar,13 hours ago,"Duck Creek Technologies India LLP, a subsidiary of Duck Creek Technologies, today announced a historical milestone with its expansion into the Indian general insurance market ...",https://www.morningstar.com/news/globe-newswire/8890991/duck-creek-technologies-expands-to-the-indian-market-offering-its-global-core-technology-platform-to-india-based-insurance-carriers
India's Chandrayaan-3 enters lunar orbit in step closer to moon rover soft landing | CNN,CNN.com,3 days ago,India moved one step closer to executing a controlled landing on the moon after its Chandrayaan-3...,https://www.cnn.com/2023/08/07/india/india-chandrayaan-3-moon-mission-lunar-orbit-intl-hnk/index.html
Russia is to launch its first mission to the moon in almost 50 years,FOX30 / CBS47 Jacksonville,33 minutes ago,LONDON — (AP) — Russia is scheduled to launch its first mission to the moon in nearly 50 years on...,https://www.actionnewsjax.com/news/world/russia-is-launch-its/BBU7AGBLXTPWRM77MEMKMT37TA/
"India markets regulator plans more disclosures for conglomerates, unlisted firms",Reuters via Yahoo Finance,3 days ago,BENGALURU (Reuters) -India's markets regulator plans to change its rules to force unlisted companies...,https://finance.yahoo.com/news/india-markets-regulator-mulls-more-104135649.html?fr=sycsrp_catchall
Fans in India rejoice as superstar actor Rajinikanth’s latest movie hits theaters,Miami Herald,7 hours ago,Fans of an Indian movie star with a cult following thronged movie theaters and celebrated with dancing and prayers as his latest film hit screens on Thursday. Hundreds of avid supporters of ...,https://www.miamiherald.com/entertainment/celebrities/article278120827.html
India's drugmakers bring on K Street help,Politico,3 days ago,"With Daniel Lippman INDIAN DRUGMAKERS BANK ON ‘GOODWILL’ — The Indian Pharmaceutical Alliance, an international association representing India’s drugmakers, wants to get cozier ...",https://www.politico.com/newsletters/politico-influence/2023/08/07/indias-drugmakers-bring-on-k-street-help-00110186
India passes data protection legislation in Parliament. Critics fear privacy violation,ABC 26 New Orleans,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://wgno.com/technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,KTLA-TV Los Angeles,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://ktla.com/morning-news/technology/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,WDTN-TV 2 Dayton,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.wdtn.com/technology/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,FOX 59 Indianapolis,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://fox59.com/morning-news/technology/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,FOX40 Sacramento,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://fox40.com/technology/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,NBC 17 Raleigh,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.cbs17.com/news/technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,WJTV Jackson,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.wjtv.com/technology/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,WLNS Lansing,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.wlns.com/news/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,KOLR - KSFX Ozarks,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.ozarksfirst.com/biz-and-tech/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,CW39 NewsFix,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://cw39.com/news/technology/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,PAHomePage.com,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.pahomepage.com/news/technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,CBS 47 Fresno,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.yourcentralvalley.com/news/tech-news/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,WWTI Watertown,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.informnny.com/news/tech-news/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,WKRN Nashville,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.wkrn.com/news/what-the-tech/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,KRQE & KASA FOX 2 Albuquerque,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.krqe.com/news/technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,WSYR 9 Syracuse,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.localsyr.com/news/national/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
Neeraj Chopra to spearhead India's challenge at the World Athletics Championships | Sporting News ...,Sporting News,1 day ago,India are sending a 28-member contingent of athletes to the World Athletics Championships which...,https://www.sportingnews.com/in/athletics/news/neeraj-chopra-india-challenge-world-athletics-championships/qjodgfafrvymrg5nayba1j5s
Fans in India rejoice as superstar actor Rajinikanth’s latest movie hits theaters,Seattle Times,7 hours ago,Fans of an Indian movie star with a cult following thronged movie theaters and celebrated with...,https://www.seattletimes.com/entertainment/fans-in-india-rejoice-as-superstar-actor-rajinikanths-latest-movie-hits-theaters/
Fans in India rejoice as superstar actor Rajinikanth's latest movie hits theaters,U-T San Diego,7 hours ago,Fans of an Indian movie star with a cult following thronged movie theaters and celebrated with dancing and prayers as his latest film hit screens on Thursday. Hundreds of avid supporters of ...,https://www.sandiegouniontribune.com/entertainment/national/story/2023-08-10/fans-in-india-rejoice-as-superstar-actor-rajinikanths-latest-movie-hits-theaters
"The transformation of digital payments in America, China and India",The Economist,2 hours ago,Insights from our writers,https://www.economist.com/films/2023/08/10/the-transformation-of-digital-payments-in-america-china-and-india
India’s Rice Export Ban Sparks Concern That Sugar May Be Next,Bloomberg via Yahoo Finance,3 days ago,"(Bloomberg) -- After India banned some rice exports to control domestic prices, traders are worried...",https://finance.yahoo.com/news/india-rice-export-ban-sparks-050000627.html?fr=sycsrp_catchall
India was a tree planting laboratory for 200 years – here are the results,The Conversation,11 hours ago,"Allowing forests to regenerate on their own has been championed as a strategy for reducing planet-heating carbon in the atmosphere while also boosting biodiversity, the benefits ecosystems offer ...",http://theconversation.com/india-was-a-tree-planting-laboratory-for-200-years-here-are-the-results-211226
India was a tree planting laboratory for 200 years – here are the results,The Conversation,11 hours ago,"Allowing forests to regenerate on their own has been championed as a strategy for reducing planet-heating carbon in the atmosphere while also boosting biodiversity, the benefits ecosystems offer ...",https://theconversation.com/india-was-a-tree-planting-laboratory-for-200-years-here-are-the-results-211226
Russia is to launch its first mission to the moon in almost 50 years,Seattle Times,37 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://www.seattletimes.com/seattle-news/science/russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
India Supreme Court to monitor investigations into Manipur sexual violence cases,Reuters,3 days ago,India's Supreme Court said on Monday it will monitor all cases of violence against women committed...,https://www.reuters.com/world/india/india-supreme-court-monitor-investigations-into-manipur-sexual-violence-cases-2023-08-07/
Russia is to launch its first mission to the moon in almost 50 years,Associated Press via AOL,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://www.aol.com/russia-launch-first-mission-moon-154033817.html
Russia is to launch its first mission to the moon in almost 50 years - WTOP News,WTOP Washington,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://wtop.com/russia-ukraine-war-news/2023/08/russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,WSLS Newschannel 10 Roanoke,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://www.wsls.com/news/world/2023/08/10/russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,ABC News,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://abcnews.go.com/International/wireStory/russia-launch-mission-moon-50-years-102168305
Russia is to launch its first mission to the moon in almost 50 years,KAAL Austin,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it in a space race with India which is also aiming to land a lunar craft ...",https://www.kaaltv.com/news/health-science/russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,WJXT Jacksonville,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://www.news4jax.com/news/world/2023/08/10/russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,AP Finance via Yahoo Finance,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://finance.yahoo.com/news/russia-launch-first-mission-moon-154033851.html?fr=sycsrp_catchall
Russia is to launch its first mission to the moon in almost 50 years,WKMG ClickOrlando,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://www.clickorlando.com/news/world/2023/08/10/russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years/
Russia is to launch its first mission to the moon in almost 50 years,Associated Press via Yahoo News,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it...",https://news.yahoo.com/russia-launch-first-mission-moon-154033576.html?fr=sycsrp_catchall
Russia is to launch its first mission to the moon in almost 50 years,U-T San Diego,38 minutes ago,"Russia is scheduled to launch its first mission to the moon in nearly 50 years on Friday, pitting it in a space race with India which is also aiming to land a lunar craft ...",https://www.sandiegouniontribune.com/business/nation/story/2023-08-10/russia-is-to-launch-its-first-mission-to-the-moon-in-almost-50-years
Premier League 2023-24: Get schedule and watch EPL live streaming and telecast in India,Olympics.com,4 hours ago,"Premier League 2023-24 will see 20 teams vie for the English football title. Get EPL schedule, match...",https://olympics.com/en/news/premier-league-2023-24-epl-football-schedule-live-streaming-india-tv-start-time
"India's Tata Chemicals posts drop in Q1 profit on lower prices, volumes",Reuters,3 days ago,"India's Tata Chemicals Ltd posted a 9.7% fall in first-quarter profit on Monday, hurt by a fall in soda ash prices and lower volumes.",https://www.reuters.com/markets/commodities/indias-tata-chemicals-posts-drop-q1-profit-lower-prices-volumes-2023-08-07/
India seeks to boost manufacturing with laptop licensing move,Reuters,6 days ago,"India's decision to impose a licensing requirement for imports of laptops, tablets and personal...",https://www.reuters.com/world/india/india-seeks-boost-manufacturing-with-laptop-licensing-move-2023-08-04/
India's opposition targets Modi in their no-confidence motion over ethnic violence in Manipur state,Associated Press,2 days ago,India’s opposition accused Prime Minister Narendra Modi of choosing silence while a northeastern state governed by his party convulsed in ethnic violence as Parliament began ...,https://apnews.com/article/india-parliament-modi-no-confidence-motion-manipur-fb2fd946f926b39f247ce1dd84f84f25
India passes data protection legislation in Parliament. Critics fear privacy violation,KLAS Las Vegas,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.8newsnow.com/news/tech-news/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
India passes data protection legislation in Parliament. Critics fear privacy violation,WKBN 27 Youngstown,12 hours ago,NEW DELHI (AP) — Indian lawmakers Wednesday approved a data protection legislation that “seeks to...,https://www.wkbn.com/technology/ap-technology/ap-india-passes-data-protection-legislation-in-parliament-critics-fear-privacy-violation/
Fans in India rejoice as superstar actor Rajinikanth's latest movie hits theaters,Washington Post,7 hours ago,Fans of an Indian movie star with a cult following thronged movie theaters and celebrated with dancing and prayers as his latest film hit screens on Thursday. Hundreds of avid supporters of ...,https://www.washingtonpost.com/entertainment/2023/08/10/india-movie-icon-rajinikanth-movie-screening/e30ee29c-375d-11ee-ac4e-e707870e43db_story.html
Abbott India posts 41% rise in Q1 profit on strong sales,Reuters via Yahoo News,1 day ago,"BENGALURU (Reuters) - Abbott India, the Indian arm of U.S. healthcare firm Abbott Laboratories, reported a 41% rise in its first-quarter profit on Wednesday, driven by strong ...",https://news.yahoo.com/abbott-india-posts-41-rise-140332624.html?fr=sycsrp_catchall
"India says cheetah deaths not alarming, to consult experts",KFGO,2 days ago,By Blassy Boben NEW DELHI (Reuters) - India is taking steps to ensure the wellbeing of cheetahs...,https://kfgo.com/2023/08/08/india-says-cheetah-deaths-not-alarming-to-consult-experts/
India's Historic Chandrayaan-3 Orbiter Delivers Incredible Photos of the Moon,PetaPixel,23 hours ago,"On the verge of making history, India's Chandrayaan-3 mission has entered lunar orbit and sent...",https://petapixel.com/2023/08/09/indias-historic-chandrayaan-3-orbiter-delivers-incredible-photos-of-the-moon/
India might cut or abolish wheat import tax - govt official,Reuters,6 days ago,"India is considering cutting or abolishing import taxes on wheat, Food Secretary Sanjeev Chopra said on Friday, as the world's second-biggest producer struggles to contain ...",https://www.reuters.com/markets/commodities/india-might-cut-or-abolish-wheat-import-tax-govt-official-2023-08-04/
