Headline,Source,Posted,Description,Link
India Opposition Leader,Goshen News,3 days ago,"India's top opposition leader Rahul Gandhi, third left, offers respects before a statue of Mahatma Gandhi upon his arrival at the Parliament in New...",https://www.goshennews.com/news/national_news/india-opposition-leader/image_7792ed56-33e6-5094-b5ca-2d1d369f2e85.html
"India's Grasim posts 56% Q1 profit drop on chemicals, textile slump",Reuters,6 hours ago,India's Grasim Industries Ltd reported a 56% drop in quarterly profit on Thursday - its fourth straight quarterly fall - as the Aditya Birla Group-owned company was hit by weak chemicals prices and a slump in its textiles business.,https://www.reuters.com/markets/commodities/indias-grasim-posts-56-q1-profit-drop-chemicals-textile-slump-2023-08-10/
India shares higher at close of trade; Nifty 50 up 0.32%,Investing.com,1 day ago,India shares higher at close of trade; Nifty 50 up 0.32%,https://za.investing.com/news/india-shares-higher-at-close-of-trade-nifty-50-up-032-2838234
India's opposition leader Rahul Gandhi calls for army deployment to end ethnic violence in Manipur,WSLS Newschannel 10 Roanoke,1 day ago,India’s top opposition leader unleashed a strong condemnation Wednesday of Prime Minister Narendra...,https://www.wsls.com/news/world/2023/08/09/indias-opposition-leader-rahul-gandhi-calls-for-army-deployment-to-end-ethnic-violence-in-manipur/
Disney narrows streaming losses despite static ESPN+ growth and churn in India - SportsPro,SportsPro,2 hours ago,"Disney lost more streaming customers during the second quarter of 2023, fuelled by the loss of key cricket rights in India, but there are signs that its restructuring and ...",https://www.sportspromedia.com/broadcast-ott/media-rights/espn-dtc-subscriber-streaming-losses-hotstar-india-ipl/
India-Pakistan game among nine Cricket World Cup matches to be rescheduled,Associated Press via Yahoo News,1 day ago,"The meeting between archrivals India and Pakistan at this year's Cricket World Cup was among nine matches to be rescheduled on Wednesday, less than two months before the start ...",https://news.yahoo.com/india-pakistan-game-among-nine-155750793.html?fr=sycsrp_catchall
India Rate Setters Seen Extending Pause to Fight Food Inflation,Bloomberg via Yahoo Finance,2 days ago,(Bloomberg) -- India’s central bank is expected keep its benchmark rate and policy stance unchanged...,https://finance.yahoo.com/news/india-rate-setters-seen-extending-230000852.html?fr=sycsrp_catchall
India Central Bank Holds Rates Steady,RTT News,6 hours ago,"The Reserve Bank of India left its benchmark interest rates unchanged, as widely expected, while surging food prices forced policymakers to turn hawkish. After the three-day ...",https://www.rttnews.com/3383564/india-central-bank-holds-rates-steady.aspx
India July inflation likely breached RBI's 6% upper tolerance level: Reuters poll,Reuters via Yahoo Finance,2 days ago,"India's retail inflation likely accelerated to 6.40% in July on surging food prices, breaching the...",https://finance.yahoo.com/news/india-july-inflation-likely-breached-021115929.html?fr=sycsrp_catchall
India Opposition Leader,Goshen News,3 days ago,"India's top opposition leader Rahul Gandhi, center, arrives at the Parliament in New Delhi, India, Monday, Aug.7, 2023. India's Parliament ...",https://www.goshennews.com/news/national_news/india-opposition-leader/image_6f7a2ee6-5a2b-5313-ac61-0eeb983103c1.html
India pushes ahead with data privacy bill despite pushback from critics,TechCrunch,3 days ago,India's lower house of parliament greenlit the revised data privacy legislation presented the...,https://techcrunch.com/2023/08/07/india-digital-data-privacy-bill/
